,Unnamed: 0,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Time Series_ist,Duration
0,500,1,2018-12-31 23:54:51,2019-01-01 00:08:55,1,5.7,1,N,132,205,2,18.0,0.5,0.5,0.0,0.0,0.3,19.3,2019-01-01 05:38:55+05:30,14
1,501,1,2018-12-31 23:54:50,2019-01-01 00:22:43,1,6.1,1,N,264,264,2,23.0,0.5,0.5,0.0,0.0,0.3,24.3,2019-01-01 05:52:43+05:30,27
2,502,1,2018-12-31 23:54:49,2019-01-01 00:02:09,1,0.8,1,N,107,107,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,2019-01-01 05:32:09+05:30,7
3,503,1,2018-12-31 23:54:49,2019-01-01 00:38:42,1,17.7,2,N,132,90,2,52.0,0.0,0.5,0.0,5.76,0.3,58.56,2019-01-01 06:08:42+05:30,43
4,504,2,2018-12-31 23:54:49,2019-01-01 00:09:40,1,2.56,1,N,237,170,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,2019-01-01 05:39:40+05:30,14
5,505,1,2018-12-31 23:54:48,2019-01-01 00:06:54,1,1.2,1,N,137,186,1,9.5,0.5,0.5,1.0,0.0,0.3,11.8,2019-01-01 05:36:54+05:30,12
6,506,1,2018-12-31 23:54:47,2019-01-01 00:03:52,4,1.0,1,N,158,114,1,7.5,0.5,0.5,1.75,0.0,0.3,10.55,2019-01-01 05:33:52+05:30,9
7,507,1,2018-12-31 23:54:47,2019-01-01 00:20:18,1,6.8,1,N,48,87,1,23.0,0.5,0.5,1.0,0.0,0.3,25.3,2019-01-01 05:50:18+05:30,25
8,508,2,2018-12-31 23:54:43,2019-01-01 00:14:01,1,5.81,1,N,161,88,2,20.0,0.5,0.5,0.0,0.0,0.3,21.3,2019-01-01 05:44:01+05:30,19
9,509,1,2018-12-31 23:54:43,2019-01-01 00:26:05,1,17.8,2,N,132,148,1,52.0,0.0,0.5,15.8,0.0,0.3,68.6,2019-01-01 05:56:05+05:30,31
10,510,1,2018-12-31 23:54:42,2019-01-01 00:12:05,2,4.9,1,N,144,263,1,16.5,0.5,0.5,3.55,0.0,0.3,21.35,2019-01-01 05:42:05+05:30,17
